# MJD 5_sigma_depth filter
61740.12193 23.453 r
61745.14273 23.453 r
61765.09870 24.492 g
61771.03936 23.453 r
61793.03522 24.492 g
61829.01944 23.306 i
61887.42226 23.139 r
61888.38141 23.139 r
61899.32944 23.139 r
61911.42950 23.376 i
61928.25424 23.871 g
61929.31604 21.917 z
61930.33683 22.196 z
61932.34369 23.871 g
61932.44172 23.139 r
61933.35303 23.376 i
61934.34647 23.139 r
61934.39488 23.376 i
61937.37682 23.376 i
61938.44444 23.139 r
61942.43759 23.871 g
61943.22985 23.139 r
61946.25315 23.871 g
61947.36532 23.139 r
61947.43089 23.376 i
61950.23236 23.871 g
61952.31608 23.871 g
61952.42213 23.871 g
61955.33628 23.871 g
61955.43348 23.139 r
61956.27249 23.139 r
61957.35072 23.871 g
61958.29390 23.376 i
61958.34932 23.139 r
61959.21562 21.996 z
61959.43245 23.139 r
61960.31025 23.376 i
61961.35148 23.139 r
61962.27359 23.139 r
61962.34714 23.139 r
61963.30917 23.139 r
61963.36929 23.139 r
61964.39896 23.871 g
61966.44310 23.139 r
61967.33635 23.871 g
61967.40198 23.376 i
61967.44433 23.139 r
61991.26418 23.328 i
61992.36719 24.416 r
61992.41755 24.416 r
61993.30843 23.871 g
61993.41744 23.328 i
61994.12354 23.871 g
61994.39587 23.328 i
61995.28244 24.416 r
61996.36674 23.871 g
61996.43012 24.416 r
61997.35574 23.871 g
62000.31347 24.416 r
62001.37193 24.416 r
62010.26421 24.416 r
62010.31826 23.625 i
62011.27330 24.728 g
62012.38530 24.416 r
62014.35020 24.416 r
62016.25083 24.728 g
62020.27634 24.263 r
62022.30913 21.794 y
62027.14459 23.709 i
62027.24501 24.263 r
62027.30400 24.263 r
62029.11686 24.728 g
62029.19015 24.263 r
62029.38763 24.728 g
62030.14627 24.263 r
62030.20196 24.263 r
62030.25236 24.728 g
62030.38852 23.709 i
62031.21623 24.728 g
62032.15531 24.728 g
62032.25877 23.928 i
62032.31109 24.263 r
62033.21215 24.263 r
62033.28009 24.728 g
62034.09047 24.263 r
62034.26166 24.263 r
62034.30341 24.263 r
62035.23106 23.928 i
62036.08233 24.263 r
62036.17848 23.684 i
62036.24184 24.728 g
62036.28860 23.684 i
62037.15098 24.263 r
62037.31869 24.263 r
62038.15747 23.252 i
62038.27995 24.728 g
